SHA256,SHA1,MD5,FileName,Description
249058ce8dc6e74cff9fb84d4d32c82e371265b40d02bb70b7955dceea008139,,,TradeAI.exe,"Unsigned, likely malicious executable similar to the fake OpenClaw installer. Has a PDB of WormGpt.pdb, a large language model known to be used to develop malware."
0b6ed577b993fd81e14f9abbef710e881629b8521580f3a127b2184685af7e05,,,TradeAI.exe,"Unsigned, likely malicious executable similar to the fake OpenClaw installer. Has an original PDB of Setup_Soft.pdb"
b73bd2e4cb16e9036aa7125587c5b3289e17e62f8831de1f9709896797435b82,,,TradeAI.exe,"Signed, potentially legitimate executable that’s been used to embed malicious code into. Has an original PDB of TradeAIbot.exe"
e13d9304f7ebdab13f6cb6fae3dff3a007c87fed59b0e06ebad3ecfebf18b9fd,,,OpenClawBot,Mach-O universal binary with 2 architectures: [x86_64:Mach-O 64-bit executable x86_64] [arm64:Mach-O 64-bit executable arm64]
b8b80a8deed530a5c4ee34bbc9f681cbbace89c7a05287890cf2ae5974f61633,,,RapiddocUpdater.exe,
7c79c2ec34e0f70cc65cb0641e7b47e68bd7412428da8f1e594d208bfe2efae9,,,pdfclickupdater.exe,maliciouspdf editor campaign
e13d9304f7ebdab13f6cb6fae3dff3a007c87fed59b0e06ebad3ecfebf18b9fd,,,OpenClawBot,Mach-O universal binary with 2 architectures: [x86_64:Mach-O 64-bit executable x86_64] [arm64:Mach-O 64-bit executable arm64]
518ff5fbfa4296abf38dfc342107f70e1491a7460978da6315a75175fb70e2b3,,,,"Main installer, fails to execute if detected executing in a virtual environment. Used to deploy information stealers on the endpoint"
f03e38e1c39ac52179e43107cf7511b9407edf83c008562250f5f340523b4b51,,,,Vidar Information stealer that fetches C2 from Telegram Channel and Steam Profile names
40fc240febf2441d58a7e2554e4590e172bfefd289a5d9fa6781de38e266b378,,,,Packed executable suspected to be a Rust-based loader for PureLogs Stealer connecting back to: 185[.]196[.]9[.]98:56001 (serverconect[.]cc). Contained PDB stealth_packer
fd67063ffb0bcde44dca5fea09cc0913150161d7cb13cffc2a001a0894f12690,,,,"Information Stealer. Contains debug messages indicating it has multiple capabilities, including spreading, persisting, and downloading further payloads. Fetches a key from a remote URL for decryption of a payload and sends data to a Telegram Bot"
d5dffba463beae207aee339f88a18cfcd2ea2cd3e36e98d27297d819a1809846,,,,As above
d5dffba463beae207aee339f88a18cfcd2ea2cd3e36e98d27297d819a1809846,,,,As above
d5dffba463beae207aee339f88a18cfcd2ea2cd3e36e98d27297d819a1809846,,,,As above
d5dffba463beae207aee339f88a18cfcd2ea2cd3e36e98d27297d819a1809846,,,,As above
a22ddb3083b62dae7f2c8e1e86548fc71b63b7652b556e50704b5c8908740ed5,,,,GhostSocks backconnect proxy. Sets up user run key {BackgroundTask} for persistence and uses --johnpidar parameter to execute in debug mode
a22ddb3083b62dae7f2c8e1e86548fc71b63b7652b556e50704b5c8908740ed5,,,,As above
d5dffba463beae207aee339f88a18cfcd2ea2cd3e36e98d27297d819a1809846,,,,AdobeCloudHelper
0f9cf1cf8d641562053ce533aaa413754db88e60404cab6bbaa11f2b2491d542 ,,,Trojan.Dindoor,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
1d984d4b2b508b56a77c9a567fb7a50c858e672d56e8cf7677a1fca5c98c95d1 ,,,Trojan.Dindoor,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
2a00705cfd3c15cf8913e9eb4e23968efd06f1feceaef9987d26c5518887d043 ,,,Trojan.Dindoor,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
2a09bbb3d1ddb729ea7591f197b5955453aa3769c6fb98a5ef60c6e4b7df23a5 ,,,Trojan.Dindoor,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
42a5db2a020155b2adb77c00cbe6c6ad27c2285d8c6114679d9d34137e870b3f ,,,Trojan.Dindoor,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
7467f326677a4a2c8576e71a832e297e794ea00e9b67c4fcbe78b5aec697cec4 ,,,Trojan.Dindoor,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
7c30c16e7a311dc0cdb1cdfd9ea6e502f44c027328dbe7d960b9bcd85ccf5eef ,,,Trojan.Dindoor,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
b0af82de672d81f3c2f153977923b3884a8a9e7045b182c2379b19a1996931a0 ,,,Trojan.Dindoor,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
bd8203ab88983bc081545ff325f39e9c5cd5eb6a99d04ae2a6cf862535c9829a ,,,Trojan.Dindoor,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
c7cf1575336e78946f4fe4b0e7416b6ebe6813a1a040c54fb6ad82e72673478e ,,,Trojan.Dindoor,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
077ab28d66abdafad9f5411e18d26e87fe43da1410ee8fe846bd721ab0cb52de ,,,Trojan.Fakeset,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
15061036c702ad92b56b35e42cf5dc334597e7311e98d2fdd3815a69ac3b1d84 ,,,Trojan.Fakeset,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
2b7d8a519f44d3105e9fde2770c75efb933994c658855dca7d48c8b4897f81e6 ,,,Trojan.Fakeset,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
4aef998e3b3f6ca21c78ed71732c9d2bdcc8a4e0284f51d7462c79d446fbc7be ,,,Trojan.Fakeset,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
64263640a6fdeb2388bca2e9094a17065308cf8dcb0032454c0a71d9b78327eb ,,,Trojan.Fakeset,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
64cf334716f15da1db7981fad6c81a640d94aa1d65391ef879f4b7b6edf6e7f1 ,,,Trojan.Fakeset,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
